,datetime,temp.a,light.a,temp.b,light.b,temp.c,light.c
1,6/20/23 17:15,62.254,34,62.254,11,62.254,4
2,6/20/23 17:30,62.254,33,62.254,10,62.254,5
3,6/20/23 17:45,62.425,30,62.254,10,62.598,4
4,6/20/23 18:00,62.769,29,62.598,10,63.111,6
5,6/20/23 18:15,63.111,29,62.94,10,63.282,3
6,6/20/23 18:30,63.797,8,63.626,2,63.968,0
7,6/20/23 18:45,63.797,6,63.626,1,63.968,0
8,6/20/23 19:00,63.797,6,63.797,1,64.481,1
9,6/20/23 19:15,63.968,4,63.797,1,64.31,0
10,6/20/23 19:30,63.968,2,63.968,0,64.481,0
11,6/20/23 19:45,64.139,1,64.139,0,64.31,0
12,6/20/23 20:00,64.31,0,64.31,0,64.139,0
13,6/20/23 20:15,64.31,0,64.31,0,64.139,0
14,6/20/23 20:30,64.481,0,64.31,0,64.139,0
15,6/20/23 20:45,64.481,0,64.31,0,64.139,0
16,6/20/23 21:00,64.31,0,64.31,0,63.626,0
17,6/20/23 21:15,64.31,0,64.139,0,63.626,0
18,6/20/23 21:30,63.797,0,63.797,0,63.626,0
19,6/20/23 21:45,63.797,0,63.797,0,63.626,0
20,6/20/23 22:00,63.797,0,63.626,0,63.626,0
21,6/20/23 22:15,63.797,0,63.626,0,63.797,0
22,6/20/23 22:30,63.797,0,63.797,0,63.797,0
23,6/20/23 22:45,63.797,0,63.797,0,63.797,0
24,6/20/23 23:00,63.797,0,63.797,0,63.455,0
25,6/20/23 23:15,63.626,0,63.626,0,63.282,0
26,6/20/23 23:30,63.626,0,63.626,0,63.455,0
27,6/20/23 23:45,63.626,0,63.626,0,63.455,0
28,6/21/23 0:00,63.626,0,63.626,0,63.282,0
29,6/21/23 0:15,63.455,0,63.455,0,63.626,0
30,6/21/23 0:30,63.626,0,63.626,0,63.797,0
31,6/21/23 0:45,63.797,0,63.797,0,63.455,0
32,6/21/23 1:00,63.797,0,63.797,0,63.455,0
33,6/21/23 1:15,63.797,0,63.797,0,63.626,0
34,6/21/23 1:30,63.968,0,63.797,0,63.626,0
35,6/21/23 1:45,63.968,0,63.797,0,63.455,0
36,6/21/23 2:00,63.968,0,63.797,0,63.455,0
37,6/21/23 2:15,63.968,0,63.797,0,63.282,0
38,6/21/23 2:30,63.797,0,63.626,0,63.455,0
39,6/21/23 2:45,63.797,0,63.626,0,63.626,0
40,6/21/23 3:00,63.797,0,63.797,0,63.626,0
41,6/21/23 3:15,63.797,0,63.626,0,63.626,0
42,6/21/23 3:30,63.797,0,63.626,0,63.626,0
43,6/21/23 3:45,63.797,0,63.797,0,63.626,0
44,6/21/23 4:00,63.797,0,63.797,0,62.769,0
45,6/21/23 4:15,63.797,0,63.797,0,63.626,0
46,6/21/23 4:30,63.797,0,63.797,0,63.111,0
47,6/21/23 4:45,63.797,0,63.797,0,62.94,0
48,6/21/23 5:00,63.797,0,63.626,0,63.455,0
49,6/21/23 5:15,63.797,0,63.797,0,63.282,0
50,6/21/23 5:30,63.797,1,63.626,0,63.282,0
51,6/21/23 5:45,63.455,2,63.455,0,62.598,0
52,6/21/23 6:00,63.111,2,62.94,0,62.598,0
53,6/21/23 6:15,63.111,4,62.94,1,62.598,0
54,6/21/23 6:30,62.94,4,62.769,1,62.425,0
55,6/21/23 6:45,62.769,6,62.598,2,62.94,2
56,6/21/23 7:00,62.598,8,62.598,3,62.598,1
57,6/21/23 7:15,62.769,13,62.769,4,62.598,4
58,6/21/23 7:30,63.111,19,62.94,7,62.083,4
59,6/21/23 7:45,63.282,24,63.111,8,62.254,7
60,6/21/23 8:00,63.282,29,63.111,11,63.111,8
61,6/21/23 8:15,63.455,29,63.282,11,63.111,10
62,6/21/23 8:30,63.626,29,63.455,11,62.598,5
63,6/21/23 8:45,63.455,34,63.282,12,61.569,1
64,6/21/23 9:00,62.769,24,62.598,9,61.741,2
65,6/21/23 9:15,62.254,27,62.083,10,61.912,4
66,6/21/23 9:30,62.425,32,62.254,12,62.769,10
67,6/21/23 9:45,62.425,41,62.425,15,63.111,14
68,6/21/23 10:00,62.598,46,62.425,17,62.94,14
69,6/21/23 10:15,62.94,20,62.769,10,62.94,20
70,6/21/23 10:30,62.94,41,62.769,18,63.111,11
71,6/21/23 10:45,63.111,39,62.94,17,63.111,11
72,6/21/23 11:00,63.111,55,63.111,24,63.282,31
73,6/21/23 11:15,63.111,56,63.111,25,63.282,19
74,6/21/23 11:30,63.111,65,63.111,29,63.111,32
75,6/21/23 11:45,63.282,20,63.111,9,63.111,9
76,6/21/23 12:00,63.282,23,63.282,11,62.94,9
77,6/21/23 12:15,63.282,59,63.282,29,63.111,28
78,6/21/23 12:30,63.282,64,63.282,32,63.111,33
79,6/21/23 12:45,63.455,67,63.282,33,62.94,23
80,6/21/23 13:00,63.626,47,63.455,24,62.769,7
81,6/21/23 13:15,63.455,56,63.282,29,62.94,5
82,6/21/23 13:30,63.455,71,63.455,37,63.111,18
83,6/21/23 13:45,63.626,72,63.455,39,62.598,11
84,6/21/23 14:00,63.626,105,63.455,38,62.94,16
85,6/21/23 14:15,64.31,152,64.139,64,62.598,14
86,6/21/23 14:30,63.968,144,63.797,65,62.769,11
87,6/21/23 14:45,64.139,144,63.968,64,62.94,15
88,6/21/23 15:00,64.139,144,63.968,63,63.455,12
89,6/21/23 15:15,64.652,122,64.652,55,63.111,16
90,6/21/23 15:30,64.825,110,64.652,49,63.455,15
91,6/21/23 15:45,64.652,102,64.481,48,63.968,12
92,6/21/23 16:00,64.652,98,64.481,45,63.626,10
93,6/21/23 16:15,64.652,80,64.481,38,64.139,8
94,6/21/23 16:30,64.825,71,64.652,34,62.769,7
95,6/21/23 16:45,64.652,59,64.31,29,63.797,6
